Date,tmax,tavg,prcp,country,EinwohnerInnen
2020-02-09,7.814285714285714,4.642857142857143,4.685714285714285,Sachsen,4043002
2020-02-09,8.257142857142858,5.814285714285714,2.2,Sachsen-Anhalt,2169253
2020-02-09,7.785714285714286,5.8428571428571425,2.7285714285714286,Schleswig-Holstein,2922005
2020-02-09,7,4.285714285714286,2.6857142857142855,Thüringen,2108863
2020-02-16,10.8,6.057142857142857,2.6,Baden-Württemberg,11124642
2020-02-16,11.071428571428571,6.571428571428571,2.5142857142857147,Bayern,13176989
2020-02-16,9.4,5.842857142857143,0.8571428571428571,Berlin,3677472
2020-02-16,9.085714285714285,5.285714285714286,1.542857142857143,Brandenburg,2537868
2020-02-16,9.157142857142857,6.2,4.142857142857143,Bremen,676463
2020-02-16,8.442857142857143,5.828571428571428,5.614285714285714,Hamburg,1853935
2020-02-16,9.7,6.171428571428572,4.085714285714285,Hessen,6295017
2020-02-16,7.8428571428571425,5.171428571428572,5.228571428571429,Mecklenburg-Vorpommern,1611160
2020-02-16,9.357142857142858,6.371428571428572,3.7142857142857144,Niedersachsen,8027031
2020-02-16,10.728571428571428,7.614285714285714,5.071428571428571,Nordrhein-Westfalen,17924591
2020-02-16,9.514285714285714,6.571428571428571,1.2428571428571429,Rheinland-Pfalz,4106485
2020-02-16,10.67142857142857,6.957142857142857,6.114285714285715,Saarland,982348
2020-02-16,10.485714285714286,6.5285714285714285,1.4714285714285713,Sachsen,4043002
2020-02-16,10.242857142857144,6.285714285714286,2.2285714285714286,Sachsen-Anhalt,2169253
2020-02-16,8.042857142857143,5.828571428571428,10.1,Schleswig-Holstein,2922005
2020-02-16,8.7,5.357142857142857,0.8857142857142857,Thüringen,2108863
2020-02-23,11.285714285714286,7.014285714285714,2.3285714285714283,Baden-Württemberg,11124642
2020-02-23,11.942857142857143,7.914285714285715,1.8285714285714287,Bayern,13176989
2020-02-23,8.914285714285715,6.742857142857143,4.071428571428571,Berlin,3677472
2020-02-23,8.685714285714285,6.271428571428571,4.1571428571428575,Brandenburg,2537868
2020-02-23,8.971428571428572,6.714285714285714,3.714285714285714,Bremen,676463
2020-02-23,8.414285714285715,6.314285714285714,5.228571428571429,Hamburg,1853935
2020-02-23,10.428571428571429,7.1571428571428575,2.0999999999999996,Hessen,6295017
2020-02-23,7.8999999999999995,5.871428571428572,3.6142857142857143,Mecklenburg-Vorpommern,1611160
2020-02-23,9.5,6.9,4.985714285714286,Niedersachsen,8027031
2020-02-23,10.142857142857142,7.685714285714286,5.7142857142857135,Nordrhein-Westfalen,17924591
2020-02-23,9.728571428571428,7.085714285714285,0.5571428571428572,Rheinland-Pfalz,4106485
2020-02-23,9.971428571428572,7.071428571428571,2.357142857142857,Saarland,982348
2020-02-23,11.77142857142857,7.985714285714286,2.5000000000000004,Sachsen,4043002
2020-02-23,10.257142857142858,7.1000000000000005,2.6,Sachsen-Anhalt,2169253
2020-02-23,7.8,6.242857142857143,7.071428571428571,Schleswig-Holstein,2922005
2020-02-23,9.442857142857143,6.0285714285714285,1.5000000000000002,Thüringen,2108863
2020-03-01,9.771428571428572,5.771428571428571,2.6714285714285717,Baden-Württemberg,11124642
2020-03-01,10.114285714285714,5.957142857142857,2.3857142857142857,Bayern,13176989
2020-03-01,8.614285714285714,5.285714285714286,2.4714285714285715,Berlin,3677472
2020-03-01,8.214285714285714,4.585714285714286,3.0285714285714285,Brandenburg,2537868
2020-03-01,8.942857142857143,5.228571428571429,5.014285714285714,Bremen,676463
2020-03-01,9,4.871428571428571,5.085714285714285,Hamburg,1853935
2020-03-01,9.128571428571428,5.985714285714286,5.3428571428571425,Hessen,6295017
2020-03-01,8.114285714285714,4.5285714285714285,3.714285714285714,Mecklenburg-Vorpommern,1611160
2020-03-01,8.914285714285715,5.428571428571429,4.371428571428571,Niedersachsen,8027031
2020-03-01,9.200000000000001,5.671428571428572,5.542857142857143,Nordrhein-Westfalen,17924591
2020-03-01,9.114285714285714,5.757142857142857,4.642857142857142,Rheinland-Pfalz,4106485
2020-03-01,9.785714285714285,6.171428571428572,6.228571428571429,Saarland,982348
2020-03-01,9.942857142857143,6.057142857142857,1.6714285714285715,Sachsen,4043002
2020-03-01,9.17142857142857,5.585714285714285,2.6142857142857143,Sachsen-Anhalt,2169253
2020-03-01,7.6000000000000005,4.742857142857143,4.357142857142857,Schleswig-Holstein,2922005
2020-03-01,7.4714285714285715,4.271428571428571,1.7428571428571429,Thüringen,2108863
2020-03-08,8.442857142857143,4.685714285714286,2.5571428571428574,Baden-Württemberg,11124642
2020-03-08,8.157142857142857,5.014285714285714,1.4142857142857144,Bayern,13176989
2020-03-08,8.414285714285715,4.9714285714285715,1.0999999999999999,Berlin,3677472
2020-03-08,8.628571428571428,4.514285714285714,0.9285714285714286,Brandenburg,2537868
2020-03-08,9.042857142857143,5.785714285714286,3.0857142857142854,Bremen,676463
2020-03-08,8.857142857142858,5.457142857142857,1.6,Hamburg,1853935
2020-03-08,9.157142857142857,5.771428571428571,3.842857142857143,Hessen,6295017
2020-03-08,8.1,4.828571428571428,0.9857142857142857,Mecklenburg-Vorpommern,1611160
2020-03-08,8.528571428571428,5.671428571428572,2.3285714285714287,Niedersachsen,8027031
2020-03-08,9.485714285714286,6.242857142857143,3.528571428571429,Nordrhein-Westfalen,17924591
2020-03-08,9.028571428571428,5.6571428571428575,3.0142857142857142,Rheinland-Pfalz,4106485
2020-03-08,9.299999999999999,5.714285714285714,6.371428571428571,Saarland,982348
2020-03-08,9.5,5.9,0.7857142857142857,Sachsen,4043002
2020-03-08,9.785714285714286,5.642857142857143,1.7,Sachsen-Anhalt,2169253
2020-03-08,7,5.042857142857143,2.414285714285714,Schleswig-Holstein,2922005
2020-03-08,7.871428571428571,4.3,0.9714285714285714,Thüringen,2108863
2020-03-15,12.614285714285714,7.571428571428571,1.7142857142857142,Baden-Württemberg,11124642
2020-03-15,12.785714285714285,8.071428571428571,2.8285714285714283,Bayern,13176989
2020-03-15,11.214285714285714,6.914285714285715,2.3142857142857145,Berlin,3677472
2020-03-15,10.928571428571429,6.414285714285715,2.0142857142857147,Brandenburg,2537868
2020-03-15,11.885714285714286,7.814285714285714,2.6285714285714286,Bremen,676463
2020-03-15,11.085714285714285,7.242857142857143,3.2285714285714286,Hamburg,1853935
2020-03-15,12.271428571428572,8.657142857142857,2.685714285714286,Hessen,6295017
2020-03-15,10.82857142857143,6.742857142857143,2.242857142857143,Mecklenburg-Vorpommern,1611160
2020-03-15,11.771428571428572,7.885714285714285,2.971428571428571,Niedersachsen,8027031
2020-03-15,12.857142857142858,9.242857142857144,4.328571428571428,Nordrhein-Westfalen,17924591
2020-03-15,12.285714285714286,8.742857142857144,1.514285714285714,Rheinland-Pfalz,4106485
2020-03-15,13.242857142857144,8.685714285714285,2.5714285714285716,Saarland,982348
2020-03-15,12.114285714285714,7.571428571428571,1.5142857142857142,Sachsen,4043002
2020-03-15,12.042857142857143,7.514285714285714,1.7428571428571429,Sachsen-Anhalt,2169253
2020-03-15,9.385714285714286,6.828571428571428,2.5142857142857142,Schleswig-Holstein,2922005
2020-03-15,11.014285714285714,6.928571428571429,2.042857142857143,Thüringen,2108863
2020-03-22,14.971428571428572,8.628571428571428,2.1714285714285713,Baden-Württemberg,11124642
2020-03-22,14.614285714285714,8.757142857142856,3.8714285714285714,Bayern,13176989
2020-03-22,12.357142857142858,7.828571428571428,0,Berlin,3677472
2020-03-22,13.071428571428571,7.771428571428571,0.014285714285714285,Brandenburg,2537868
2020-03-22,11.185714285714285,7.285714285714286,0.11428571428571428,Bremen,676463
2020-03-22,10.314285714285715,6.428571428571429,0.2571428571428572,Hamburg,1853935
2020-03-22,14.471428571428572,9.4,0.9428571428571427,Hessen,6295017
2020-03-22,10.071428571428571,6.385714285714286,0.37142857142857144,Mecklenburg-Vorpommern,1611160
2020-03-22,11.571428571428571,7.7,0.05714285714285714,Niedersachsen,8027031
2020-03-22,13.842857142857143,8.7,0.22857142857142856,Nordrhein-Westfalen,17924591
2020-03-22,14.314285714285713,9.614285714285714,0.6142857142857143,Rheinland-Pfalz,4106485
2020-03-22,15.914285714285715,8.957142857142857,0.8999999999999999,Saarland,982348
2020-03-22,12.7,7.271428571428571,0.6428571428571429,Sachsen,4043002
2020-03-22,13.17142857142857,7.9,0.37142857142857144,Sachsen-Anhalt,2169253
2020-03-22,8.342857142857143,6.214285714285714,0.6142857142857142,Schleswig-Holstein,2922005
2020-03-22,11.342857142857142,6.571428571428572,0,Thüringen,2108863
2020-03-29,10,3.942857142857143,0.7571428571428571,Baden-Württemberg,11124642
2020-03-29,9.185714285714285,3.8857142857142857,0.09999999999999999,Bayern,13176989
2020-03-29,10.414285714285715,5.157142857142857,0.07142857142857144,Berlin,3677472
2020-03-29,10.757142857142856,4.257142857142857,0.1714285714285714,Brandenburg,2537868
2020-03-29,10.542857142857143,5.0285714285714285,0.05714285714285714,Bremen,676463
2020-03-29,10.114285714285714,4.6000000000000005,0.5571428571428572,Hamburg,1853935
2020-03-28,12.5,7.199999999999999,0,Hessen,6295017
2020-03-29,9.714285714285714,4.5285714285714285,0.22857142857142856,Mecklenburg-Vorpommern,1611160
2020-03-29,10,4.257142857142857,0.14285714285714288,Niedersachsen,8027031
2020-03-29,11.842857142857143,6.6,0.15714285714285717,Nordrhein-Westfalen,17924591
2020-03-29,11.371428571428572,6.128571428571428,0,Rheinland-Pfalz,4106485
2020-03-29,11.714285714285714,6.185714285714286,0,Saarland,982348
2020-03-29,10.7,3.5714285714285716,0.22857142857142856,Sachsen,4043002
2020-03-29,10.742857142857142,4.757142857142857,0.09999999999999999,Sachsen-Anhalt,2169253
2020-03-29,7.014285714285714,4.671428571428572,NA,Schleswig-Holstein,2922005
2020-03-29,9.042857142857143,3.1,0.19999999999999998,Thüringen,2108863
2020-04-05,11.685714285714285,5.0285714285714285,0,Baden-Württemberg,11124642
2020-04-05,11.585714285714285,5.642857142857143,0,Bayern,13176989
2020-04-05,10.214285714285715,5.285714285714286,0.0857142857142857,Berlin,3677472
2020-04-05,10.571428571428571,4.985714285714286,0.18571428571428572,Brandenburg,2537868
2020-04-05,11.257142857142858,5.7,0.8999999999999999,Bremen,676463
2020-04-05,10.771428571428572,5.414285714285715,0.7714285714285714,Hamburg,1853935
2020-04-05,12.628571428571428,7.014285714285714,0,Hessen,6295017
2020-04-05,10.185714285714285,5.357142857142857,0.2142857142857143,Mecklenburg-Vorpommern,1611160
2020-04-05,10.028571428571428,5.214285714285714,0.4714285714285714,Niedersachsen,8027031
2020-04-05,12.5,6.285714285714286,0.05714285714285714,Nordrhein-Westfalen,17924591
2020-04-05,12.385714285714286,7.0285714285714285,0,Rheinland-Pfalz,4106485
2020-04-05,14.028571428571428,6.228571428571429,0,Saarland,982348
2020-04-05,10.7,4.757142857142857,0,Sachsen,4043002
2020-04-05,10.514285714285714,5.3999999999999995,0.04285714285714286,Sachsen-Anhalt,2169253
2020-04-05,9.2,6.1,0.27142857142857146,Schleswig-Holstein,2922005
2020-04-05,9.7,3.7285714285714286,0.014285714285714285,Thüringen,2108863
2020-04-12,21.885714285714286,13.257142857142856,0.37142857142857144,Baden-Württemberg,11124642
2020-04-12,21.8,14.4,0,Bayern,13176989
2020-04-12,19.97142857142857,12.371428571428572,0.22857142857142856,Berlin,3677472
2020-04-12,20.385714285714286,12.6,0.38571428571428573,Brandenburg,2537868
2020-04-12,19.37142857142857,11.971428571428572,0.02857142857142857,Bremen,676463
2020-04-12,18.62857142857143,11.2,0,Hamburg,1853935
2020-04-12,22.428571428571427,15.657142857142857,0,Hessen,6295017
2020-04-12,17.885714285714286,11.428571428571429,0,Mecklenburg-Vorpommern,1611160
2020-04-12,19.65714285714286,12.385714285714286,0,Niedersachsen,8027031
2020-04-12,22.52857142857143,15.028571428571428,0,Nordrhein-Westfalen,17924591
2020-04-12,22.5,16.271428571428572,0,Rheinland-Pfalz,4106485
2020-04-12,24.642857142857142,14.7,0.02857142857142857,Saarland,982348
2020-04-12,20.9,13.028571428571428,0,Sachsen,4043002
